plan_day,q4_2,q4_3_A,q4_3_B,A_minus_q42_yuan,B_minus_A_yuan
2025-10-04,13983.386739213609,13972.07974823371,13748.046357979014,-11.306990979899638,-224.0333902546954
2025-10-05,38508.14322496449,38474.28716095203,37783.45378062643,-33.85606401246332,-690.8333803256028
2025-10-06,40560.3539209841,42444.601037842345,42665.573478253136,1884.2471168582488,220.97244041079102
2025-10-07,42253.86757228375,43557.82816264637,43557.82816264637,1303.9605903626216,0.0
2025-10-08,40525.355395858714,40034.90136521256,40273.804008311956,-490.45403064615675,238.90264309939812
2025-10-09,40777.28552993778,40761.06859073778,40008.53396235373,-16.216939199999615,-752.5346283840481
2025-10-10,13827.008681085741,14417.295141454892,14567.144333573542,590.2864603691505,149.84919211865054
2025-10-11,13809.797993066624,13672.202575800327,13672.202575800327,-137.59541726629686,0.0
2025-10-12,39800.85065077608,39787.76411575036,39348.369640786834,-13.086535025722696,-439.3944749635266
2025-10-13,41587.80190347325,41579.901811464915,41176.71393352418,-7.900092008334468,-403.1878779407343
2025-10-14,46725.692403100475,43086.20494765597,43108.69123669865,-3639.487455444505,22.486289042681165
2025-10-15,49975.591274199454,44686.90705953845,44996.162783148,-5288.684214661007,309.25572360955266
2025-10-16,53557.07382233766,47325.74919558904,46469.56127127282,-6231.324626748625,-856.1879243162184
2025-10-17,13759.000265602755,13757.351850955982,13757.351850955982,-1.6484146467737446,0.0
2025-10-18,13924.175105855715,14361.104624368134,14318.86096547865,436.92951851241924,-42.24365888948341
2025-10-19,44508.77905072023,44856.20181191456,45640.942876998466,347.4227611943279,784.7410650839083
2025-10-20,47307.3286151628,47062.77850429457,46824.780664904385,-244.55011086822924,-237.9978393901838
2025-10-21,50807.49390927202,49427.40132858502,49123.670706574834,-1380.092580687,-303.7306220101891
2025-10-22,47737.90832911656,46388.521507674326,47162.62641792501,-1349.3868214422328,774.1049102506804
2025-10-23,45668.440309240505,45669.73258238175,46288.17411904928,1.2922731412472785,618.4415366675312
2025-10-24,14639.933258215446,14666.105460074445,14708.955727188386,26.17220185899896,42.8502671139413
2025-10-25,13314.1157236436,13287.590456529968,13249.068236243742,-26.525267113631344,-38.522220286226
2025-10-26,45826.86187091104,46004.78562910148,46178.819161870764,177.92375819044537,174.033532769281
2025-10-27,46915.3642897806,47793.3102878884,47125.89733575102,877.9459981078035,-667.4129521373834
2025-10-28,46746.20315966142,46571.801211660706,46571.801211660706,-174.40194800071185,0.0
2025-10-29,62133.507653634275,52863.945139843236,52519.10296765955,-9269.56251379104,-344.84217218368576
2025-10-30,48423.315380675565,48292.63536289545,47421.075229202936,-130.6800177801124,-871.5601336925174
2025-10-31,15025.238821935744,15027.2522965573,15052.712149564799,2.0134746215571795,25.459853007498168
2025-11-01,14049.987871092497,14173.867260432226,14173.867260432226,123.87938933972873,0.0
2025-11-02,48143.78124715642,49217.8620131578,48762.866343661124,1074.0807660013816,-454.99566949667496
2025-11-03,50320.43048539568,51661.93878486639,51446.13471684068,1341.5082994707118,-215.80406802571088
2025-11-04,49641.36488951092,49644.895273385926,51387.83687050178,3.5303838750041905,1742.9415971158523
2025-11-05,51208.28785368509,51209.763442987176,51723.02734133685,1.4755893020846997,513.2638983496727
2025-11-06,51725.42362277315,53366.932104693355,53160.68964361967,1641.508481920202,-206.24246107368526
2025-11-07,16536.32080790521,16431.03122340802,16337.290636888252,-105.28958449718994,-93.74058651976702
